Date,Close,High,Low,Open,Volume,Adj Close
12/6/13,2237.10791,2248.146973,2228.63208,2242.562988,103700,2237.10791
12/9/13,2238.199951,2249.168945,2231.733887,2241.792969,93300,2238.199951
12/10/13,2237.491943,2250.503906,2231.679932,2239.864014,109000,2237.491943
12/11/13,2204.166016,2228.633057,2193.159912,2228.633057,109400,2204.166016
12/12/13,2202.795898,2214.548096,2194.900879,2199.316895,86100,2202.795898
12/13/13,2196.074951,2204.636963,2183.842041,2188.259033,85100,2196.074951
12/16/13,2160.861084,2201.696045,2159.987061,2197.233887,101400,2160.861084
12/17/13,2151.079102,2165.542969,2146.313965,2161.535889,78600,2151.079102
12/18/13,2148.284912,2156.593018,2142.624023,2150.412109,64200,2148.284912
12/19/13,2127.791992,2159.14209,2126.246094,2153.674072,73100,2127.791992
12/20/13,2084.793945,2131.737061,2082.85498,2128.374023,86800,2084.793945
12/23/13,2089.707031,2099.521973,2068.542969,2089.539063,68100,2089.707031
12/24/13,2092.905029,2111.804932,2079.810059,2094.072998,70300,2092.905029
12/25/13,2106.354004,2107.231934,2088.297119,2095.019043,65200,2106.354004
12/26/13,2073.099121,2102.659912,2070.545898,2102.659912,78500,2073.099121
12/27/13,2101.250977,2110.356934,2069.590088,2074.592041,76800,2101.250977
12/30/13,2097.529053,2112.009033,2095.062988,2108.883057,74100,2097.529053
12/31/13,2115.978027,2120.273926,2087.415039,2090.678955,80500,2115.978027
1/2/14,2109.386963,2113.110107,2101.016113,2112.125977,68500,2109.386963
1/3/14,2083.13501,2102.166992,2075.898926,2101.541992,84500,2083.13501
1/6/14,2045.708984,2078.684082,2034.005981,2078.684082,89600,2045.708984
1/7/14,2047.317017,2052.279053,2029.245972,2034.223999,63400,2047.317017
1/8/14,2044.339966,2062.951904,2037.109985,2047.255981,71600,2044.339966
1/9/14,2027.621948,2057.196045,2026.446045,2041.772949,75900,2027.621948
1/10/14,2013.297974,2029.296997,2008.006958,2023.535034,75600,2013.297974
1/13/14,2009.563965,2027.18103,2000.404053,2014.978027,66500,2009.563965
1/14/14,2026.842041,2027.427979,2001.13501,2007.156006,70400,2026.842041
1/15/14,2023.348022,2027.409058,2010.203979,2024.228027,67400,2023.348022
1/16/14,2023.70105,2034.707031,2014.406982,2022.537964,72800,2023.70105
1/17/14,2004.948975,2017.868042,2001.329956,2017.521973,67300,2004.948975
1/20/14,1991.253052,2005.937988,1984.823975,2001.894043,56300,1991.253052
1/21/14,2008.312988,2014.151978,1992.015015,1992.015015,59800,2008.312988
1/22/14,2051.749023,2052.339111,2008.930054,2009.968994,98900,2051.749023
1/23/14,2042.180054,2052.528076,2039.052002,2048.331055,84200,2042.180054
1/24/14,2054.39209,2060.986084,2034.453003,2037.666992,92900,2054.39209
1/27/14,2033.300049,2044.845947,2029.625977,2044.271973,88800,2033.300049
1/28/14,2038.512939,2047.129028,2026.987061,2036.401978,72500,2038.512939
1/29/14,2049.914063,2051.583008,2039.770996,2042.176025,73900,2049.914063
1/30/14,2033.083008,2045.93103,2031.465942,2045.93103,62600,2033.083008
2/7/14,2044.496948,2044.72998,2014.697998,2022.322998,73600,2044.496948
2/10/14,2086.066895,2087.975098,2049.983887,2049.983887,124300,2086.066895
2/11/14,2103.670898,2111.061035,2082.520996,2086.177002,142200,2103.670898
2/12/14,2109.955078,2110.904053,2096.509033,2103.827881,126300,2109.955078
2/13/14,2098.400879,2122.825928,2096.966064,2106.934082,146500,2098.400879
2/14/14,2115.8479,2116.186035,2095.090088,2097.320068,111500,2115.8479
2/17/14,2135.415039,2136.447021,2117.688965,2124.879883,140200,2135.415039
2/18/14,2119.065918,2134.143066,2113.12793,2134.143066,142900,2119.065918
2/19/14,2142.553955,2152.960938,2111.167969,2116.918945,151300,2142.553955
2/20/14,2138.781982,2177.978027,2136.480957,2152.891113,157100,2138.781982
2/21/14,2113.693115,2132.702881,2098.327881,2131.592041,117700,2113.693115
2/24/14,2076.686035,2099.717041,2058.791016,2099.717041,123600,2076.686035
2/25/14,2034.218994,2087.615967,2026.542969,2077.284912,140100,2034.218994
2/26/14,2041.254028,2041.626953,2014.380981,2026.609985,110100,2041.254028
2/27/14,2047.354004,2068.313965,2036.390991,2045.095947,132200,2047.354004
2/28/14,2056.302002,2058.489014,2020.935059,2040.624023,111600,2056.302002
3/3/14,2075.235107,2078.333008,2047.067017,2052.074951,127500,2075.235107
3/4/14,2071.4729,2074.024902,2050.125,2068.106934,115900,2071.4729
3/5/14,2053.083984,2074.814941,2050.175049,2073.294922,107700,2053.083984
3/6/14,2059.577881,2065.790039,2030.946045,2050.031982,109300,2059.577881
3/7/14,2057.907959,2079.48999,2050.469971,2058.375,103700,2057.907959
3/10/14,1999.064941,2042.634033,1995.54895,2042.352051,115700,1999.064941
3/11/14,2001.156982,2008.071045,1985.598999,1994.415039,92700,2001.156982
3/12/14,1997.692017,2011.060059,1974.381958,1996.239014,101400,1997.692017
3/13/14,2019.110962,2029.119995,1996.529053,2000.694946,101000,2019.110962
3/14/14,2004.338989,2017.912964,1990.97998,2008.824951,87800,2004.338989
3/17/14,2023.672974,2024.371948,1999.249023,2009.881958,86300,2023.672974
3/18/14,2025.196045,2034.916992,2020.410034,2026.223999,96800,2025.196045
3/19/14,2021.734009,2022.18103,2002.44104,2019.97998,95200,2021.734009
3/20/14,1993.479004,2030.847046,1993.001953,2017.219971,110300,1993.479004
3/21/14,2047.619019,2052.471924,1986.071045,1987.678955,144500,2047.619019
3/24/14,2066.279053,2074.055908,2043.329956,2050.826904,147700,2066.279053
3/25/14,2067.311035,2079.551025,2057.490967,2063.322998,131800,2067.311035
3/26/14,2063.669922,2074.572021,2057.647949,2070.573975,102600,2063.669922
3/27/14,2046.588013,2073.980957,2042.713013,2060.812012,119100,2046.588013
3/28/14,2041.712036,2060.134033,2035.243042,2046.850952,121700,2041.712036
3/31/14,2033.30603,2048.134033,2024.185059,2043.045044,94400,2033.30603
4/1/14,2047.459961,2050.680908,2028.095947,2031.005005,83300,2047.459961
4/2/14,2058.988037,2060.778076,2046.741943,2049.423096,102700,2058.988037
4/3/14,2043.702026,2066.00708,2037.447021,2063.49707,108600,2043.702026
4/4/14,2058.831055,2060.104004,2035.220947,2037.552002,83200,2058.831055
4/8/14,2098.283936,2102.451904,2052.899902,2054.530029,133400,2098.283936
4/9/14,2105.237061,2108.75,2095.639893,2100.650879,105300,2105.237061
4/10/14,2134.300049,2146.669922,2098.079102,2105.875977,156800,2134.300049
4/11/14,2130.541992,2138.650879,2120.178955,2130.36792,131800,2130.541992
4/14/14,2131.539063,2134.434082,2116.610107,2127.408936,102100,2131.539063
4/15/14,2101.601074,2125.9021,2098.149902,2125.9021,107500,2101.601074
4/16/14,2105.12207,2112.050049,2092.156982,2097.212891,89400,2105.12207
4/17/14,2098.88501,2110.716064,2095.714111,2108.947021,89900,2098.88501
4/18/14,2097.748047,2099.636963,2081.185059,2091.47998,88200,2097.748047
4/21/14,2065.825928,2103.077881,2065.233887,2085.97998,96400,2065.825928
4/22/14,2072.831055,2073.663086,2047.332031,2062.787109,98700,2072.831055
4/23/14,2067.38208,2076.349121,2059.108887,2068.083984,78500,2067.38208
4/24/14,2057.032959,2075.75708,2056.193115,2064.156006,78200,2057.032959
4/25/14,2036.519043,2065.643066,2035.56604,2060.538086,93000,2036.519043
4/28/14,2003.487061,2035.98999,2000.136963,2033.337036,89800,2003.487061
4/29/14,2020.340942,2021.680054,1997.640015,2001.895996,76200,2020.340942
4/30/14,2026.358032,2029.537964,2016.577026,2020.437988,74500,2026.358032
5/5/14,2027.353027,2028.957031,2007.350952,2022.177979,79900,2027.353027
5/6/14,2028.037964,2038.704956,2021.484985,2024.255981,74600,2028.037964
5/7/14,2010.083008,2024.630981,2008.45105,2023.151978,74400,2010.083008
5/8/14,2015.274048,2036.94104,2005.685059,2006.853027,77900,2015.274048
